Ano,Mês,Dia,Ativo,Cotação,Variação
2018,02,14,Esp. Sto. do Pinhal/SP (Coopinhal),"430,00",-
2018,02,14,Franca/SP (Cocapec),"455,00","0,00"
2018,02,14,Maringá/PR (Cocamar),"430,00","-1,15"
2018,02,14,Vitória/ES (BCSP),"435,00","0,00"
2018,02,14,Oeste da Bahia (AIBA),"442,50","0,00"
2018,02,14,Média Rio Grande do Sul (Clicmercado),"455,00","0,00"
2018,02,15,Guaxupé/MG (Cooxupé),"439,00","-1,35"
2018,02,15,Poços de Caldas/MG (CaféPoços),"455,00","+0,66"
2018,02,15,Patrocínio/MG (Expocaccer),"450,00","0,00"
2018,02,15,Araguarí/MG (Coocacer),"450,00","0,00"
2018,02,15,Varginha/MG (Minasul),"440,00","0,00"
2018,02,15,Lajinha/MG (Coocafé),"445,00","+1,14"
2018,02,15,Esp. Sto. do Pinhal/SP (Coopinhal),"430,00","0,00"
2018,02,15,Franca/SP (Cocapec),"455,00","0,00"
2018,02,15,Maringá/PR (Cocamar),"430,00","0,00"
2018,02,15,Vitória/ES (BCSP),"435,00","0,00"
2018,02,15,Oeste da Bahia (AIBA),"440,00","-0,56"
2018,02,15,Média Rio Grande do Sul (Clicmercado),"445,00","-2,20"
2018,02,16,Guaxupé/MG (Cooxupé),"430,00","-2,05"
2018,02,16,Poços de Caldas/MG (CaféPoços),"445,00","-2,20"
2018,02,16,Patrocínio/MG (Expocaccer),"435,00","-3,33"
2018,02,16,Araguarí/MG (Coocacer),"445,00","-1,11"
2018,02,16,Varginha/MG (Minasul),"440,00","0,00"
2018,02,16,Lajinha/MG (Coocafé),"445,00","0,00"
2018,02,16,Esp. Sto. do Pinhal/SP (Coopinhal),"430,00","0,00"
2018,02,16,Franca/SP (Cocapec),"445,00","-2,20"
2018,02,16,Maringá/PR (Cocamar),"430,00","0,00"
2018,02,16,Vitória/ES (BCSP),"435,00","0,00"
2018,02,16,Oeste da Bahia (AIBA),"440,00","0,00"
2018,02,16,Média Rio Grande do Sul (Clicmercado),"445,00","0,00"
2018,02,19,Guaxupé/MG (Cooxupé),"430,00","0,00"
2018,02,19,Poços de Caldas/MG (CaféPoços),"447,00","+0,45"
2018,02,19,Patrocínio/MG (Expocaccer),"435,00","0,00"
2018,02,19,Araguarí/MG (Coocacer),"440,00","-1,12"
2018,02,19,Varginha/MG (Minasul),"440,00","0,00"
2018,02,19,Lajinha/MG (Coocafé),"435,00","-2,25"
2018,02,19,Esp. Sto. do Pinhal/SP (Coopinhal),"440,00","+2,33"
2018,02,19,Franca/SP (Cocapec),"445,00","0,00"
2018,02,19,Maringá/PR (Cocamar),"430,00","0,00"
2018,02,19,Vitória/ES (BCSP),"435,00","0,00"
2018,02,19,Oeste da Bahia (AIBA),"440,00","0,00"
2018,02,19,Média Rio Grande do Sul (Clicmercado),"435,00","-2,25"
2018,02,20,Guaxupé/MG (Cooxupé),"443,00","+3,02"
2018,02,20,Poços de Caldas/MG (CaféPoços),"447,00","0,00"
2018,02,20,Patrocínio/MG (Expocaccer),"440,00","+1,15"
2018,02,20,Araguarí/MG (Coocacer),"440,00","0,00"
2018,02,20,Varginha/MG (Minasul),"437,00","-0,68"
2018,02,20,Lajinha/MG (Coocafé),"425,00","-2,30"
